,Name,Place_id,Latitude,Longitude,Type
0,Casa Aika,ChIJn0aCnBDJBZERF4HCCSQuMqA,-12.0725428,-77.06844099999999,"['shopping_mall', 'hospital', 'lodging', 'university', 'health', 'point_of_interest', 'establishment']"
1,Vaccination Center INSN,ChIJGyma7OfIBZEReDuZ_1nDWBU,-12.0645452,-77.0456126,"['hospital', 'health', 'point_of_interest', 'establishment']"
2,Stella Maris,ChIJbcYLtB3JBZER-P2JnD3d6bY,-12.071172,-77.05954679999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
3,Allpa Hotel & Suites,ChIJlRN9qB65BZERJIEF3ykd3J4,-12.1760229,-76.9468485,"['hospital', 'health', 'point_of_interest', 'establishment']"
4,Clínica Javier Prado,ChIJdzPdsmbIBZERVQJeGTdHGD8,-12.0911905,-77.0284705,"['hospital', 'health', 'point_of_interest', 'establishment']"
5,Instituto Nacional de Oftalmología,ChIJMZ1XwdfIBZERlybRlfJyCqQ,-12.0514395,-77.0551828,"['hospital', 'health', 'point_of_interest', 'establishment']"
6,Japanese Peruvian Polyclinic,ChIJZYI3alXIBZERoAEX9ziZbsY,-12.0877734,-77.0547745,"['hospital', 'health', 'point_of_interest', 'establishment']"
7,Puesto de Salud Santa Rosa,ChIJE3y_jfjLBZERMKMefbKjqU0,-12.0457505,-77.11100909999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
8,Clínica Peruano Centenario Japanese,ChIJKRm__xzJBZEREbcuhGVb9Fw,-12.0731243,-77.059128,"['hospital', 'health', 'point_of_interest', 'establishment']"
9,Clínica San Juan de Dios Lima | Perú,ChIJ2RJ7JD_GBZERXAixYKitbCY,-12.0655032,-76.9896222,"['hospital', 'health', 'point_of_interest', 'establishment']"
10,Municipal Hospital Los Olivos,ChIJ8Rc860nOBZERttuVIp6KRLY,-11.976652,-77.063386,"['hospital', 'health', 'point_of_interest', 'establishment']"
11,Clínica Ricardo Palma,ChIJWdQZiHvIBZERqwj8EqBWom0,-12.0907119,-77.0182852,"['hospital', 'health', 'point_of_interest', 'establishment']"
12,Hospital de la Solidaridad - Mirones,ChIJWS1G4THJBZERpvuOyuNA4NE,-12.049189,-77.0681838,"['hospital', 'health', 'point_of_interest', 'establishment']"
13,Maternal Perinatal Institute-National Maternity of Lima,ChIJU3B8srrIBZER4uMp-nX2egY,-12.0527686,-77.0221638,"['hospital', 'health', 'point_of_interest', 'establishment']"
14,Archbishop Loayza National Hospital,ChIJHx7mK87IBZERxUD4UylySvw,-12.04994,-77.0427308,"['hospital', 'health', 'point_of_interest', 'establishment']"
15,Hospital Essalud Alberto Sabogal Sologuren,ChIJuwSkruvLBZERg8KQnaxK0Pw,-12.0641753,-77.1224356,"['hospital', 'health', 'point_of_interest', 'establishment']"
16,Central National Police Hospital,ChIJXSVv5QDJBZERNdzf2WbMUaY,-12.0847014,-77.0602522,"['hospital', 'health', 'point_of_interest', 'establishment']"
17,Daniel Alcides Carrión National Hospital,ChIJedydaevLBZERu2P8mbtgLfU,-12.0627002,-77.12355,"['hospital', 'health', 'point_of_interest', 'establishment']"
18,Hospital Essalud Mongrut,ChIJEWsAh13JBZERuaCvZ-w9Z4E,-12.0658858,-77.0945258,"['hospital', 'health', 'point_of_interest', 'establishment']"
19,EsSalud Hospital Aurelio Diaz Ufano,ChIJg4h-pUPFBZERyBAO4oxboGQ,-11.9684779,-76.9955667,"['hospital', 'health', 'point_of_interest', 'establishment']"
20,Santa Rosa,ChIJAeVDZhzJBZERK7Bg7olk6Tc,-12.0720006,-77.0609284,"['hospital', 'health', 'point_of_interest', 'establishment']"
21,Hospital Victor Larco Herrera,ChIJqVZnya_JBZERuwZWqlL1Q3k,-12.0989274,-77.065739,"['hospital', 'health', 'point_of_interest', 'establishment']"
22,Military Hospital Colonel Luis Arias Schreiber,ChIJb0GjpgDJBZERH_VjFdZMoXk,-12.0862124,-77.0611729,"['hospital', 'health', 'point_of_interest', 'establishment']"
23,Clínica Providencia,ChIJ6wdMe2XJBZERfwGDRdp3qfY,-12.0750842,-77.0914,"['hospital', 'health', 'point_of_interest', 'establishment']"
24,Policlinico,ChIJgZJ43rrOBZERBLD_NVILhd4,-12.029868,-77.0896868,"['hospital', 'health', 'point_of_interest', 'establishment']"
25,Specialized Medical Center OSI,ChIJT2VvYuvHBZER5r5gibyqJ40,-12.1113374,-76.9893075,"['hospital', 'health', 'point_of_interest', 'establishment']"
26,Solidarity Hospital Carabayllo,ChIJ1RClU_PQBZERfxKWklxFAPM,-11.9011487,-77.03442989999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
27,Hospital de la Seguridad - Ladd,ChIJW6EtKF7IBZERVbVelwJrxak,-12.0889681,-77.033456,"['hospital', 'health', 'point_of_interest', 'establishment']"
28,EMETAC,ChIJyRWHHGvIBZER-Xpjlwq_3uw,-12.1059201,-77.0301499,"['hospital', 'health', 'point_of_interest', 'establishment']"
29,Instituto Kirschbaum,ChIJ_4QzhszHBZERNADMmDa1XiE,-12.0864011,-76.9936999,"['hospital', 'health', 'point_of_interest', 'establishment']"
30,RESOMASA SAN FELIPE,ChIJX7M2jP_IBZERTCn4RQh7gYQ,-12.0861356,-77.05471519999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
31,Clinica,ChIJkWVgntXRBZER6TfNrJLVo2A,-11.9514591,-77.0593921,"['hospital', 'health', 'point_of_interest', 'establishment']"
32,CENTRO DE SALUD MENTAL COMUNITARIO JOSEPH GERARD RUYS,ChIJZ1X7pxLSBZEREc262Je2eNU,-11.9839451,-77.10145399999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
33,Centro Medico Mayo,ChIJp1rtkWLGBZERhDtJzUieqSA,-12.0509011,-76.9653033,"['hospital', 'health', 'point_of_interest', 'establishment']"
34,Bamboo Senior Health Services,ChIJXwS8hO3HBZEREhfGpJy1iRo,-12.116381,-76.9906551,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']"
35,Hospital Guillermo Almenara,ChIJQWuy1rzIBZERnz2uuiGhf2w,-12.0611497,-77.0225487,"['hospital', 'health', 'point_of_interest', 'establishment']"
36,Terapia del Dolor,ChIJPXelYXLIBZER1MZ-7rHmb_Y,-12.1044876,-77.02068729999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
37,Bostoncenter,ChIJW5_2-e7IBZERt2iooJvpiZo,-12.071228,-77.0482301,"['hospital', 'health', 'point_of_interest', 'establishment']"
38,Peruvian lives without Cancer Association,ChIJBS5W2XDIBZER_5HZOWh4z5A,-12.090722,-77.01887669999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
39,BiosMed,ChIJv-GwC-PHBZERpM_DhbMwpSo,-12.1153025,-77.0063052,"['hospital', 'health', 'point_of_interest', 'establishment']"
40,Hospital Barton - Essalud,ChIJVfACzP7LBZER0hND63yAbN0,-12.0487833,-77.10768709999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
41,C.E.M. Guadalupe,ChIJoet_kiTOBZERJRUQHmVTHvg,-11.9615924,-77.0727761,"['hospital', 'health', 'point_of_interest', 'establishment']"
42,Centro Cardiológico Mispireta,ChIJm5phRRXIBZER6jigpH_B0t0,-12.1086892,-77.0325167,"['hospital', 'health', 'point_of_interest', 'establishment']"
43,Resomasa,ChIJ6xA7AHzIBZERfz_EAlyA6Jw,-12.090244,-77.016617,"['hospital', 'health', 'point_of_interest', 'establishment']"
44,Radioncologia,ChIJT1U5q27IBZERe7cmhGTFEoc,-12.1012929,-77.0275192,"['hospital', 'doctor', 'health', 'point_of_interest', 'establishment']"
45,Allcco De Zamora,ChIJK4aJ3U_OBZERyNGpL0lNOiE,-11.9860221,-77.0664807,"['hospital', 'health', 'point_of_interest', 'establishment']"
46,Centro de Cirugía Ginecológica,ChIJsdXkIF7IBZER6f3xPW5DKSA,-12.0903791,-77.0334546,"['hospital', 'health', 'point_of_interest', 'establishment']"
47,Corporal Age,ChIJCfEzTDjIBZERC6nK61TUhko,-12.111124,-77.0427469,"['beauty_salon', 'hair_care', 'hospital', 'spa', 'health', 'point_of_interest', 'establishment']"
48,ANTIESTRES,ChIJ3_aHiGDIBZERdyWPzJFoYRY,-12.0883449,-77.03297979999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
49,Centro De Entrenamiento Fisiologico De Medicina Aeroespacial De La Fap,ChIJnS-leBi4BZER4dFcd68exm0,-12.1512445,-77.00133249999999,"['hospital', 'health', 'point_of_interest', 'establishment']"
50,Hospital 2 de Mayo MINSA,ChIJ6XvxT6PIBZER3l0vjH5Duqg,-12.0559781,-77.0156726,"['hospital', 'health', 'point_of_interest', 'establishment']"
51,Polyclinic Parish Our Lady of the Angels,ChIJ7TGqnE7PBZEROlqY3Yx43MI,-12.0343009,-77.0244806,"['hospital', 'health', 'point_of_interest', 'establishment']"
52,Hospital Real de San Andrés,ChIJC3q0pabIBZERpYJfQqnojN0,-12.0567551,-77.016015,"['hospital', 'health', 'point_of_interest', 'establishment']"
53,Centro de Salud Caja de Agua,ChIJgazYllnPBZER6rd5fYelVsM,-12.0268968,-77.014997,"['hospital', 'health', 'point_of_interest', 'establishment']"
54,Clinic Dr. Luis Quito,ChIJeYmwV87IBZERfuBJ4wfi7H0,-12.0584483,-77.0232504,"['hospital', 'health', 'point_of_interest', 'establishment']"
55,San Joaquín,ChIJgWihxPDFBZER-n843LaEy1E,-12.0262146,-77.0035761,"['hospital', 'health', 'point_of_interest', 'establishment']"
