,id,inventory
2020-06-20,ChIJn0aCnBDJBZERF4HCCSQuMqA,32
2020-06-21,ChIJn0aCnBDJBZERF4HCCSQuMqA,10
2020-06-22,ChIJn0aCnBDJBZERF4HCCSQuMqA,14
2020-06-23,ChIJn0aCnBDJBZERF4HCCSQuMqA,8
2020-06-24,ChIJn0aCnBDJBZERF4HCCSQuMqA,10
2020-06-25,ChIJn0aCnBDJBZERF4HCCSQuMqA,41
2020-06-26,ChIJn0aCnBDJBZERF4HCCSQuMqA,46
2020-06-27,ChIJn0aCnBDJBZERF4HCCSQuMqA,44
2020-06-28,ChIJn0aCnBDJBZERF4HCCSQuMqA,17
2020-06-29,ChIJn0aCnBDJBZERF4HCCSQuMqA,40
2020-06-30,ChIJn0aCnBDJBZERF4HCCSQuMqA,7
2020-07-01,ChIJn0aCnBDJBZERF4HCCSQuMqA,28
2020-07-02,ChIJn0aCnBDJBZERF4HCCSQuMqA,30
2020-07-03,ChIJn0aCnBDJBZERF4HCCSQuMqA,18
2020-07-04,ChIJn0aCnBDJBZERF4HCCSQuMqA,48
2020-07-05,ChIJn0aCnBDJBZERF4HCCSQuMqA,16
2020-07-06,ChIJn0aCnBDJBZERF4HCCSQuMqA,33
2020-07-07,ChIJn0aCnBDJBZERF4HCCSQuMqA,8
2020-07-08,ChIJn0aCnBDJBZERF4HCCSQuMqA,7
2020-07-09,ChIJn0aCnBDJBZERF4HCCSQuMqA,34
2020-07-10,ChIJn0aCnBDJBZERF4HCCSQuMqA,14
2020-07-11,ChIJn0aCnBDJBZERF4HCCSQuMqA,46
2020-07-12,ChIJn0aCnBDJBZERF4HCCSQuMqA,48
2020-07-13,ChIJn0aCnBDJBZERF4HCCSQuMqA,15
2020-07-14,ChIJn0aCnBDJBZERF4HCCSQuMqA,22
2020-07-15,ChIJn0aCnBDJBZERF4HCCSQuMqA,11
2020-07-16,ChIJn0aCnBDJBZERF4HCCSQuMqA,44
2020-07-17,ChIJn0aCnBDJBZERF4HCCSQuMqA,30
2020-07-18,ChIJn0aCnBDJBZERF4HCCSQuMqA,33
2020-07-19,ChIJn0aCnBDJBZERF4HCCSQuMqA,14
2020-07-20,ChIJn0aCnBDJBZERF4HCCSQuMqA,22
2020-07-21,ChIJn0aCnBDJBZERF4HCCSQuMqA,16
2020-07-22,ChIJn0aCnBDJBZERF4HCCSQuMqA,15
2020-07-23,ChIJn0aCnBDJBZERF4HCCSQuMqA,30
2020-07-24,ChIJn0aCnBDJBZERF4HCCSQuMqA,23
2020-07-25,ChIJn0aCnBDJBZERF4HCCSQuMqA,27
2020-07-26,ChIJn0aCnBDJBZERF4HCCSQuMqA,40
2020-07-27,ChIJn0aCnBDJBZERF4HCCSQuMqA,10
2020-07-28,ChIJn0aCnBDJBZERF4HCCSQuMqA,6
2020-07-29,ChIJn0aCnBDJBZERF4HCCSQuMqA,25
2020-07-30,ChIJn0aCnBDJBZERF4HCCSQuMqA,31
2020-07-31,ChIJn0aCnBDJBZERF4HCCSQuMqA,17
2020-08-01,ChIJn0aCnBDJBZERF4HCCSQuMqA,43
